,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,From ProPublica,,Form 990 - Top Block,,,,,Part I - Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part II - Signature Block,"Part VII - Compensation of Officers,Directors, etc.",,,,,,,,,,,,,,,,,,,,Part IX - Statement of Functional Expenes,,,,,,,,,,,,,,,,,,,,,,,,,,Part X - Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,5,6,8,8,9,9,10,10,11,11,12,12,13,13,15,15,16b,17,17,18,18,19,19,20,20,21,21,22,22,,,,,,,,,,,,,,,,,,,,,,1,5,7,8,9,10,11a,11b,11c,11d,11e,11f,11g,12,13,14,15,16,17,19,20,21,22,23,24e,25,1,,2,,3,,4,,5,,6,,7,,8,,9,,10a,10b,10c,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,32,,33,,,,,,,,,
,In/Out,Campus,#,City,St,FY Ending Month/Year (12/2023),Filed On Date,"Box D
EIN","Box G
Gross Receipts","Box I
Tax Exempt Status","Box J
Website","Box L
Formation Year",# of Voting Members Gov Body,# Individuals Employed,# of Volunteers,"
Contributions and Grants
","Contributions and Grants
","Program  Revenue
","Program  Revenue
","Investment Income
","Investment Income
","Other Revenue
","Other Revenue
","Total Revenue
","Total Revenue
","Grants Paid
","Grants Paid
","Salaries, Other Comp
PY","Sales, Other Comp
CY",Total Fundraising Expenses,Other Expenses,Other Expenses,Total Expenses,Total Expenses,Revenue Less Expesnes,Revenue Less Expesnes,Total Assets,Total Assets,Total Liabilities,Total Liabilities,Net Assets or Fund Balances,Net Assets or Fund Balances,Paid Preparer Firm's Name,"CEO 
Name
Box A","CEO
Reportable Compensation
Box D ","CEO
Reportable Compensation
Box E","CEO
Estimated of Other Comp
Box F","CFO 
Name
Box A","CFO
Reportable Compensation
Box D  or E","CFO
Reportable Compensation
Box D","CFO
Estimated of Other Comp
Box F","Chief Operating Officer or Senior VP Operations 
Name
Box A","Chief Operating Officer or Senior VP Operations 
Reportable Compensation
Box D ","Chief Operating Officer or Senior VP Operations 
Reportable Compensation
Box E","Chief Operating Officer or Senior VP Operations 
Estimated of Other Comp
Box F","Chief Strategy Officer 
Name
Box A","Chief Strategy Officer 
Reportable Compensation
Box D ","Chief Strategy Officer 
Reportable Compensation
Box E ","Chief Strategy Officer 
Estimated of Other Comp
Box F","Chief Marketing Officer or Senior VP Marketing 
Name
Box A","Chief Marketing Officer or Senior VP Marketing 
Reportable Compensation
Box D ","Chief Marketing Officer or Senior VP Marketing 
Reportable Compensation
Box E ","Chief Marketing Officer or Senior VP Marketing 
Estimated of Other Comp
Box F",Grants and other assistance,"Compensation of current officers, directors",Other salaries and wages,Pension plan accruals and contributions,Other employee benefits,Payroll taxes ,Management ,Legal,Accounting,lobbying,Professional Fund Raising Services,Investment mgt fees,Other,Advertising and Promotion,Office Expenses,Information Technology,Royalties,Occupancy,Travel,"Conferences, conventions and meetings",Interest,Payments to affiliates,"Depreciation, depletion, and amortization",Insurance,Other Expenses,Total Functional Expenses,Cash–non-interest-bearing ,,Savings and temp cash investments,,Pledges and grants receivable,,"Accounts Receivalbe, Net",,Loans and other receivables from any current or former officer…,,Loans and other receivables from other disqualified…,,"Notes and loans receivable, net",,Inventories for sale or use,,Prepaid expenses and deferred charges,,"Land, buildings and equipment",Less: accumulated depreciration,,,Investments - publicy traded securities,,Investments - other securities,,Investments - program related,,Intangible assets,,Other assets,,Total assets,,Acccounts payable and accrued expenses,,Grants payable,,Deferred revenue,,Tax-exempt bond liabilities,,Escrow or custodial account liability,,Loans and other payables to any current or former…,,Secured mortgages and notes payable to unrelated 3rd parties,,Unsecured notes and loans payable to unrelated 3rd parties,,Other liabilities,,Total Liabilties,,Net assets without donor restrictions,,Net assets with donor restrictions,,Captial stock or trust principal,,"Paid-in or captial surplus, or land, building or equipment fund",,"Retained earnings, endowment, accumulated income or other funds",,Total Net Assets or Fund Balances,,Total Liabilities and net assets/fund balances,,,Total,ILU,ALU,NCB,% ILU,%ALU,%NCB
,,,,,,,,CY,CY,CY,CY,CY,CY,CY,CY,PY,CY,PY,CY,PY,CY,PY,CY,PY,CY,PY,CY,PY,CY,,PY,CY,PY,CY,PY,CY,PY,CY,PY,CY,PY,CY,,,,,,,,,,,,,,,,,,,,,,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A - Total,A Being,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,,,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,A Begin,B End,,,,,,,,
,1,Frasier,114,Boulder,CO,6/2023,10/2023,84-0503809,"$49,788,883",501(c)(3),www.frasiermeadows.org,1954,13,424,290,1140707,694400,39577758,41345286,-207110,2062740,221205,1158963,40732560,45261389,90000,116500,15363064,16336131,57915,25609264,27660172,41062328,44112803,-329768,1148586,252296856,254252055,237234407,232838590,15062449,21413465,CLIFTONLARSONALLEN LLP,Timothy Johnson,449657,0,96897,Nikki Lewis,274586,274586,87903,Tomas Mendez,203950,0,79309,David Slack,268134,0,70993,Colleen Ryan Mallon,218466,0,94855,116500,1820,11693501,434406,1442951,944912,1150319,32697,106055,,,170800,118332,169893,453205,644411,,5817957,86630,55957,5720145,,983542,880639,419192,44112803,1802763,1854245,1530790,2589598,,,704056,1743187,,,,,,,62028,56155,371683,399528,251152270,74422357,179110553,176729913,64857435,65639396,,,,,,,3857548,5240033,252296856,254252055,6569107,3722333,,,82577059,83405840,119433783,116626840,18658469,20250585,,,8585326,7339738,,,1410663,1494101,237234407,232838590,13840326,20627968,1222123,785497,,,,,,,15062449,21413465,252296856,254252055,,395,303,38,54,76.7%,9.6%,13.7%
,2,Friendship Village of Dublin,101,Dublin,OH,6/2023,2/2024,31-0986918,"$36,971,291 ",501(c)(3),www.fvdublin.org,1979,16,562,799,489837,437994,28862868,34536796,2918807,1623391,167056,168684,32438568,36766865,35000,49000,13576326,15117101,155380,18873118,18515281,32484444,33681382,-45876,3085483,168682964,176501466,128001050,129189990,40681914,47311476,,Rita Doherty,213576,0,9131,Craig Flickinger,165610,165610,14993,Seth White,144074,0,23805,,,,,Emily Smith-Colon,139417,0,17499,49000,379186,11630931,159239,1856956,1090789,,74205,68330,,,239792,,448998,4693207,194337,,1299465,22112,36506,2539743,,5472509,501149,32785,33681382,250300,250300,6066880,3330588,,0,1085583,1071858,,,,,,0,308576,162313,716615,1047917,175744558,60312321,106137983,115432237,45370408,52617778,724066,788056,,,,,8022553,1802419,168682964,176501466,4856827,5026991,0,0,50133050,50195210,57086296,55803146,,0,,0,152519,113023,,0,15772358,18051620,128001050,128189990,39998138,46589954,683776,721522,,,,,,,40681914,47311476,168682964,176501466,,409,304,55,50,74.3%,13.4%,12.2%
,3,"Laurel Lake Retirement Community, Inc.",98,Hudson,OH,12/2022,11/2023,34-1779303,"$2,048,516 ",501(c)(3),www.laurellake.org,1995,6,0,7,853712,810428,0,0,375836,4416,30978,0,1260526,814844,110936,109626,0,0,109227,243930,235564,354866,345190,905660,469654,5606222,5076444,639700,481629,4966522,4594815,HW&CO,David Oster,0,368034,34964,Ann Kirk,0,0,0,,,,,,,,,,,,,109626,0,0,0,0,0,156608,0,4702,0,0,43288,43,30923,0,0,0,0,0,0,0,0,0,0,,345190,455863,48754,148962,206365,449238,373004,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,4552159,4448321,0,0,0,0,0,0,0,0,5606222,5076444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639700,481629,639700,481629,3289189,3022534,1677333,1572281,,,,,,,4966522,4594815,5606222,5076444,,415,279,61,75,67.2%,14.7%,18.1%
,4,The Wesley Community,75,Saratoga Springs,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,60,40,356,13.2%,8.8%,78.1%
,5,Bishop Gadsden,58,Charleston,SC,12/2023,08/2024,57-0337132,"$63,547,966 ",501(c)(3),www.bishopgadsden.org,1943,14,886,20,3376388,1692682,43315096,56698800,1491860,2539402,204113,2286086,48387457,63216970,654437,785082,23918082,32719879,289541,30921166,33667414,55493685,67172375,-7106228,-3955405,292676122,309485590,237362196,252260121,55313926,55313926,BAKER TILLY ADVISORY GROUP LP,Sarah E H Tipton,362495,0,75278,Lynne L Kerrison,370876,370876,52093,Aaron D Roop,243516,0,47620,Kimberly Borts,144016,0,16695,Laura Wilson,152617,0,25836,431500,2124800,24586694,628564,2923318,2456503,,11799,67233,1250,,107124,2068602,288171,2798740,581041,,4984841,120454,,4321543,,10773218,2565027,408669,67172376,11640642,13973735,357046,2256918,67760,0,2129601,1458414,,,,,,,"288,536","179,422","573,679","907,959","306,302,681","91,705,018","212,278,361","214,597,663","58,625,122","70,029,536",,,,,,,"6,715,375","6,081,943","292,676,122","309,485,590","5,799,555","6,337,140",,,"56,389,404","63,325,392","132,991,752","137,573,908",,,,,,,,,"42,181,485","45,023,681","237,362,196","252,260,121","41,670,258","42,798,548","13,643,668","14,426,921",,,,,,,"55,313,926","57,225,469","292,676,122","309,485,590",,479,268,111,100,55.9%,23.2%,20.9%
,6,Still Hopes Episcopal Retirement Community,117,West Columbia,SC,9/2023,08/2024,51-0175068,55726915,501(c)(3),www.stillhopes.org,1975,15,974,150,"8,804,015","883,791","36,091,389","40,643,657","2,499,618","1,484,694",0,0,"47,395,022","43,012,142",0,0,"23,339,743","24,696,295",162606,"21,876,463","22,416,392","45,216,206","47,112,687","2,178,816","-4,100,545","196,329,552","196,057,893","196,798,385","199,107,012","-468,833","-3,049,119",FORVIS MAZARS LLP,Danny L Sanford,371395,0,162921,Carolyn J Twisdale,231663,231663,38633,David S Smart,227635,0,15825,,,,,,,,,,1073608,"19,904,817","488,557","1,730,848","1,498,465","432,000","26,361","127,418",,,"78,798","1,894,922","182,924","1,988,453","1,050,211",,"1,787,353","100,588","12,332","5,158,635",,"6,298,436","531,995",,"47,112,687","5,076,973","4,054,822","263,987","16,063,801",,,"8,631,525","1,833,640",,,,,,,"223,464","223,357","641,943","211,841","199,824,935","57,372,029","141,737,557","142,452,906","14,657,390","18,166,894",,,,,"26,532","26,532","25,070,181","13,024,100","196,329,552","196,057,893","5,038,333","4,758,253",,,,"28,683,348","103,237,107","101,763,973",,,,,,,,,"88,522,945","63,901,438","196,798,385","199,107,012","-4,057,964","-7,095,197","3,589,131","4,046,078",,,,,,,"-468,833","-3,049,11","196,329,552","196,057,893",,394,276,48,70,70.1%,12.2%,17.8%
,7,"Elim Park Baptist Home, Inc.",125,Cheshire,CT,9/2023,8/2024,06-0658099,"39,407,894",501(c)(3),www.elimpark.org,1906,10,520,0,466815,"3,546,529","32,096,790","34,186,392","841,131","1,292,141",0,0,"33,404,736","39,025,062","615,012","665,610","15,502,706","16,533,528",39134,"12,464,445","14,435,469","28,582,163","31,634,607","4,822,573","7,390,455","81,688,611","97,179,314","70,752,860","77,131,891","10,935,751","20,047,423",MARCUM LLP,Brian Bedard,275679,0,56771,Zell Gaston,183125,183125,13619,Thomas Penna,116349,0,25850,Deborah Smith,129801,0,25309,,,,,"659,255","609,938","13,191,697","422,518","1,261,165","1,048,210",,"147,274","110,881",,,"26,023","407,403","368,887","331,347","426,538",,"2,241,079","29,303",,"427,067",,"3,824,815","566,303","477,974","31,634,607","1,296",300,"4,985,222","7,058,576",,,"3,342,363","4,518,415",,,,,,,,,"369,084","464,687","124,834,723","72,302,272","50,469,829","52,532,451","20,570,266","30,720,578",,,,,,,"1,950,551","1,884,307","81,688,611","97,179,314","4,292,228","4,217,316",,,"33,348,392","35,994,801","11,231,426","16,218,440",,,,,,,,,"21,880,814","20,701,334","70,752,860","77,131,891","9,360,012","18,150,098","1,575,739","1,897,325",,,,,,,"10,935,751","20,047,423","81,688,611","97,179,314",,389,257,42,90,66.1%,10.8%,23.1%
